name,num,difficulty
surf_wasteland,32,491.905
surf_map_njv,31,491.773
surf_lt_unicorn,31,491.391
surf_anubis_ksf,33,491.348
surf_monotony_ksf,32,491.178
surf_rewind,32,490.917
surf_santorini_ksf,31,490.101
surf_selenka2,33,489.483
surf_kairo,33,489.455
surf_remeanian,34,489.127
surf_board_this_fix,31,489.021
surf_smol,33,488.696
surf_earthmover,35,488.490
surf_illumination2,33,488.052
surf_zoomboys,31,487.986
surf_spaceship_ksf,33,487.708
surf_ofrenda,35,487.640
surf_apollo,33,487.105
surf_n_turf,35,486.928
surf_luminaris_refix,36,486.766
surf_concretejungle_fix,33,486.686
surf_kz_mix_journeys,32,486.179
surf_pride,35,486.102
surf_race_final,35,485.746
surf_nesquik,33,485.603
surf_monkeys,36,485.221
surf_fortress_ksf,31,484.787
surf_castlewalls,31,484.495
surf_pantheon,32,484.483
surf_gloomy,32,483.859
surf_hollow,31,483.204
surf_hero,33,482.826
surf_thesteve,33,482.735
surf_cement,34,482.388
surf_tormentor,37,482.048
surf_cavity,34,481.984
surf_facility,31,481.976
surf_cement,35,481.334
surf_illusion,33,481.266
surf_aux,31,481.105
surf_sunset2_fix,31,480.359
surf_overgrowth2,32,480.189
surf_lab,32,480.119
surf_nsz_fix,34,480.020
surf_chungus_fungus,31,479.863
surf_flatliners,31,479.743
surf_fuchnut,32,479.691
surf_primero_fix,31,479.189
surf_ofrenda,31,479.151
surf_sinner_ksf,33,479.132
surf_techsune_css,31,479.049
surf_olivia,33,478.691
surf_whatever,32,478.093
surf_metalpipes,34,477.985
surf_kismet,31,477.203
surf_diet_mountain_dew,31,476.839
surf_ben10,40,476.639
surf_damn,32,476.559
surf_rez2,34,476.201
surf_anoobis,40,475.946
surf_leesriize_ksf,34,475.888
surf_monkeys2,33,475.662
surf_hero,31,475.535
surf_kalium,31,474.903
surf_minecraft_fix,32,474.709
surf_luminaris_refix,34,474.486
surf_zeitgeist,31,474.408
surf_jaqen2,31,474.034
surf_n_turf,38,473.997
surf_ebony,34,473.534
surf_nac,31,473.472
surf_radiant,31,473.216
surf_eon_fix,31,472.970
surf_castlewalls,32,472.940
surf_trapped,32,472.743
surf_innokia,33,472.669
surf_luminaris_refix,33,472.583
surf_seaside,33,472.483
surf_froots2,31,472.414
surf_not_so_disaster,35,472.114
surf_kira,31,472.089
surf_lax,32,472.089
surf_tempest4,34,471.727
surf_runewords2,34,471.706
surf_rise,33,471.354
surf_quarantine,32,471.070
surf_warped,33,470.998
surf_chateau_fix,31,470.638
surf_pantheon,33,470.547
surf_devil,31,470.477
surf_frost,36,469.728
surf_jumble,31,469.703
surf_celestial,33,469.400
surf_monolith,31,469.150
surf_gleam2,33,468.773
surf_despair,35,468.690
surf_sentient,31,468.452
surf_cavity,33,468.360
surf_mate,33,468.049
surf_botanica,33,468.008
surf_ixtab,31,467.971
surf_remeanian,33,467.887
surf_helljumper,31,466.968
surf_cinnamon_fix,33,466.935
surf_edge,32,466.905
surf_damnation,32,466.582
surf_board_this_fix,36,466.451
surf_assail,33,465.928
surf_rands,31,465.865
surf_memories,32,465.847
surf_crank,31,465.218
surf_gleam2,32,465.195
surf_technical,35,465.045
surf_gloomy,34,464.364
surf_wood,31,464.322
surf_nyx,33,464.303
surf_shade,31,464.257
surf_froots2,34,464.119
surf_mephobia_final,31,464.099
surf_color_fix,31,464.008
surf_concretejungle_fix,31,463.821
surf_simpsons2,33,463.814
surf_izded,31,463.073
surf_hyper2,31,462.802
surf_jive,31,462.497
surf_frost,34,461.862
surf_sinister2,32,461.768
surf_secluded,32,461.435
surf_funhouse2,33,461.238
surf_north,31,461.048
surf_n_turf,34,461.006
surf_funhouse2,34,460.616
surf_remeanian,32,460.295
surf_hotwheels_fix,37,459.989
surf_angelina,38,459.705
surf_sedona,31,458.934
surf_jagerbomb,31,458.691
surf_devs_ksf,32,458.658
surf_pagoda,33,458.320
surf_antimatter2,33,458.007
surf_vienna,31,457.955
surf_axil,32,457.492
surf_angst,32,457.108
surf_vitamin_e,39,457.057
surf_paradigm,33,456.843
surf_memories,31,456.721
surf_slate,31,456.647
surf_undergrowth,31,456.482
surf_grotto,31,456.232
surf_dynamics_fixed,31,456.070
surf_serenity,33,455.919
surf_fiellu_ksf,33,455.843
surf_sofia_fix,32,455.571
surf_like_this,33,455.471
surf_tequila,32,455.301
surf_ofrenda,33,455.219
surf_whynot2,31,455.036
surf_intense_ksf,32,454.933
surf_solace,31,454.786
surf_vestige_fix,33,454.647
surf_jitterbug,31,454.458
surf_81st_network,31,454.405
surf_eryr,33,454.152
surf_beverages_remix,33,454.082
surf_silent,31,453.704
surf_helljumper,34,453.626
surf_tensor2,34,453.493
surf_epicube,32,453.471
surf_santorini2,31,452.951
surf_antimatter2,31,452.176
surf_happyhug,32,451.560
surf_earthmover,34,451.466
surf_kz_mix_journeys,33,451.069
surf_rubiks_cube,32,450.907
surf_suburbia,31,450.185
surf_boogie_woogie,35,449.401
surf_desolate,32,449.305
surf_raphaello,31,449.182
surf_ben10,37,449.170
surf_spacemonkeys,35,449.117
surf_minimumwage,31,449.023
